id;start_date;end_date;language
1;2018-10-17T23:28:39;2018-10-17T21:18:54;ENGLISH
2;2018-10-17T08:56:14;2018-10-17T18:21:43;FRENCH
3;2018-10-17T18:52:26;2018-10-17T06:57:34;SPANISH
4;2018-10-17T23:23:15;2018-10-17T04:49:34;FRENCH
5;2018-10-18T01:39:38;2018-10-17T09:58:36;ENGLISH
6;2018-10-17T11:10:21;2018-10-18T01:10:41;SPANISH
7;2018-10-17T19:14:09;2018-10-17T05:48:18;FRENCH
8;2018-10-17T09:40:02;2018-10-17T06:15:51;FRENCH
9;2018-10-17T10:31:40;2018-10-17T22:03:06;FRENCH
10;2018-10-17T06:28:38;2018-10-17T23:26:07;FRENCH
